Esum_keV,pdf_per_keV,rate_per_tonne_year_keV_w136eq1,rate_per_tonne_year_keV_natural_LXe,rate_per_tonne_year_keV_w136eq0p90
1399.0,0.00048574270367652,689.0999797523904,63.18071425275169,620.1899817771513
1400.0,0.00048453358665726865,687.3846631718675,63.02344400182821,618.6461968546806
1401.0,0.00048332477871570274,685.6697850650986,62.866213952741575,617.1028065585887
1402.0,0.00048211628909835283,683.9553585496951,62.70902530819109,615.5598226947255
1403.0,0.0004809081270367545,682.2413967219958,62.55187926892563,614.0172570497962
1404.0,0.00047970030174735275,680.5279126569311,62.39477703373126,612.4751213912378
1405.0,0.0004784928224314037,678.8149194078836,62.2377197994184,610.9334274670953
1406.0,0.00047728569827487947,677.1024300065535,62.080708760809486,609.3921870058981
1407.0,0.00047607893844837126,675.3904574628206,61.92374511072636,607.8514117165385
1408.0,0.000474872552106994,673.6790147646093,61.76683003997783,606.3111132881482
1409.0,0.0004736665483902899,671.9681148777515,61.609964737347205,604.7713033899763
1410.0,0.00047246093642213283,670.2577707458518,61.453150389579754,603.2319936712665
1411.0,0.00047125572531063394,668.5479952901522,61.29638818137053,601.693195761137
1412.0,0.0004700509241480459,666.8388014093978,61.13967929535183,600.1549212684579
1413.0,0.0004688465420106673,665.1302019796996,60.98302491208082,598.6171817817295
1414.0,0.00046764258795874906,663.4222098544031,60.82642621002735,597.0799888689628
1415.0,0.0004664390710364001,661.714837863954,60.66988436556164,595.5433540775585
1416.0,0.00046523600027149117,660.0080988157613,60.513400552941846,594.0072889341851
1417.0,0.0004640333846755635,658.3020054940682,60.35697594430211,592.4718049446614
1418.0,0.0004628312332437331,656.5965706598163,60.20061170964014,590.9369135938346
1419.0,0.00046162955495459836,654.8918070505144,60.044309016805215,589.4026263454629
1420.0,0.0004604283587701448,653.1877273801035,59.888069031485756,587.8689546420931
1421.0,0.00045922765363565503,651.4843443388288,59.73189291719762,586.3359099049459
1422.0,0.0004580274484796132,649.7816705931045,59.57578183527171,584.803503533794
1423.0,0.00045682775221361294,648.079718785383,59.41973694484196,583.2717469068447
1424.0,0.0004556285737322661,646.3785015340253,59.263759402833465,581.7406513806227
1425.0,0.0004544299219131094,644.6780314331689,59.10785036395037,580.210228289852
1426.0,0.00045323180561651264,642.9783210525975,58.952010980663914,578.6804889473377
1427.0,0.00045203423368558735,641.279382937611,58.79624240320054,577.1514446438498
1428.0,0.00045083721494609553,639.5812296088965,58.64054577953002,575.6231066480068
1429.0,0.0004496407582063569,637.8838735623967,58.48492225535343,574.095486206157
1430.0,0.0004484448722571602,636.1873272691838,58.32937297409157,572.5685945422654
1431.0,0.0004472495658716705,634.4916031753282,58.173899076872914,571.0424428577953
1432.0,0.0004460548478053403,632.7967137017722,58.01850170252207,569.5170423315949
1433.0,0.00044486072679581694,631.102671244199,57.86318198754773,567.9924041197789
1434.0,0.0004436672115628552,629.4094881729081,57.70794106613128,566.4685393556173
1435.0,0.00044247431080822583,627.7171768326865,57.55278007011492,564.9454591494177
1436.0,0.00044128203321562646,626.0257495426811,57.39770012899007,563.423174588413
1437.0,0.00044009038745059247,624.3352185962733,57.24270236988579,561.9016967366459
1438.0,0.0004388993821604082,622.6455962609525,57.08778791755722,560.3810366348572
1439.0,0.0004377090259740167,620.9568947781881,56.932957894373835,558.8612053003693
